pt,no_reactions
Infusion site warmth,9
Ingrowing nail,37
Inguinal hernia,50
Inguinal hernia repair,1
Inhibitory drug interaction,79
Initial insomnia,251
Injection related reaction,18
Injection site abscess,59
Injection site atrophy,14
Injection site bruising,752
Injection site cellulitis,23
Injection site discolouration,88
Injection site discomfort,59
Injection site erythema,998
Injection site extravasation,67
Injection site haematoma,35
Injection site haemorrhage,326
Injection site hypoaesthesia,6
Injection site indentation,6
Injection site induration,97
Injection site infection,26
Injection site inflammation,11
Injection site injury,10
Injection site irritation,53
Injection site joint inflammation,2
Injection site mass,297
Injection site necrosis,17
Injection site nodule,67
Injection site pain,1724
Injection site paraesthesia,7
Injection site pruritus,273
Injection site rash,164
Injection site reaction,487
Injection site scab,2
Injection site scar,18
Injection site swelling,226
Injection site urticaria,95
Injection site vesicles,17
Injury,253
Injury associated with device,43
Insomnia,3870
Instillation site inflammation,1
Instillation site lacrimation,3
Insulin resistance,10
Insurance issue,206
Intellectual disability,32
Intensive care,28
Intentional dose omission,378
Intentional overdose,4185
Intentional product misuse,2138
Intentional product use issue,2102
Intentional self-injury,921
Intentional underdose,67
Intercepted product prescribing error,8
Intermenstrual bleeding,49
Internal haemorrhage,202
International normalised ratio abnormal,36
International normalised ratio decreased,36
International normalised ratio fluctuation,28
International normalised ratio increased,286
Interstitial lung disease,976
Intervertebral disc annular tear,2
Intervertebral disc compression,7
Intervertebral disc degeneration,129
Intervertebral disc disorder,56
Intervertebral disc injury,5
Intervertebral disc operation,44
Intervertebral disc protrusion,395
Intervertebral discitis,23
Intestinal anastomosis complication,4
Intestinal angioedema,11
Intestinal calcification,3
Intestinal dilatation,5
Intestinal fistula,5
Intestinal infarction,7
Intestinal ischaemia,72
Intestinal obstruction,651
Intestinal operation,17
Intestinal perforation,105
Intestinal polyp,11
Intestinal pseudo-obstruction,59
Intestinal resection,43
Intestinal stenosis,33
Intestinal ulcer,11
Intra-abdominal haematoma,26
Intracardiac thrombus,24
Intracranial aneurysm,87
Intracranial haematoma,16
Intracranial mass,11
Intracranial pressure increased,134
Intraductal papillary mucinous neoplasm,14
Intraductal proliferative breast lesion,83
Intraocular lens implant,1
Intraocular pressure increased,99
Invasive breast carcinoma,24
Invasive ductal breast carcinoma,166
Invasive lobular breast carcinoma,15
Iritis,29
Iron binding capacity total decreased,2
Iron deficiency,47
Iron deficiency anaemia,116
Irritability,601
Irritable bowel syndrome,237
Ischaemia,26
Ischaemic cardiomyopathy,17
Ischaemic cerebral infarction,36
Ischaemic stroke,376
JC polyomavirus test positive,39
Jaundice,157
Jaundice cholestatic,100
Jaw disorder,61
Jaw fracture,35
Jejunostomy,6
Joint crepitation,15
Joint destruction,5
Joint dislocation,131
Joint effusion,66
Joint injury,239
Joint instability,14
Joint noise,19
Joint range of motion decreased,65
Joint stiffness,174
Joint swelling,879
Joint warmth,6
Jugular vein thrombosis,21
Keloid scar,2
Keratitis,15
Keratopathy,5
Keratosis follicular,5
Ketoacidosis,55
Kidney infection,416
Kidney transplant rejection,19
Klebsiella infection,22
Knee arthroplasty,453
Knee operation,268
Labelled drug-drug interaction issue,79
Labelled drug-drug interaction medication error,245
Labile hypertension,1
Laboratory test abnormal,432
Labour induction,7
Laceration,40
Lack of spontaneous speech,4
Lacrimation increased,171
Lactic acidosis,300
Lactose intolerance,31
Lacunar infarction,21
Lacunar stroke,9
Laparoscopy,3
Large for dates baby,18
Large intestinal haemorrhage,24
Large intestinal obstruction,28
Large intestinal stenosis,13
Large intestine infection,34
Large intestine perforation,32
Large intestine polyp,70
Laryngeal cancer stage IV,1
Laryngeal disorder,8
Laryngeal dyspnoea,9
Laryngeal neoplasm,1
Laryngeal oedema,32
Laryngitis,189
Laryngospasm,27
Laziness,13
Left ventricular dysfunction,52
Left ventricular enlargement,10
Left ventricular failure,30
Leg amputation,36
Leiomyoma,9
Lenticular opacities,11
Lentigo maligna,16
Lepromatous leprosy,4
Lesion excision,5
Lethargy,435
Leukaemia,116
Leukocytosis,124
Leukoencephalopathy,27
Leukopenia,733
Libido decreased,197
Libido disorder,47
Libido increased,138
Lichen planus,47
Lichen sclerosus,21
Lichenoid keratosis,55
Lid lag,2
Ligament injury,11
Ligament rupture,39
Ligament sprain,127
Light chain analysis abnormal,4
Light chain analysis increased,18
Limb crushing injury,8
Limb discomfort,310
Limb immobilisation,7
Limb injury,327
Limb mass,23
Limb operation,100
Limb reconstructive surgery,7
Limb reduction defect,16
Limbic encephalitis,6
Linear IgA disease,21
Lip and/or oral cavity cancer,11
Lip blister,41
Lip disorder,29
Lip exfoliation,17
Lip oedema,30
Lip pain,15
Lip pruritus,10
Lip squamous cell carcinoma,16
Lip swelling,493
Lip ulceration,10
Lipase increased,77
Lipodystrophy acquired,15
Lipohypertrophy,5
Lipoma,56
Liposuction,8
Lithiasis,6
Lithotripsy,2
Live birth,92
Livedo reticularis,15
Liver ablation,4
Liver abscess,33
Liver disorder,497
Liver function test abnormal,436
Liver function test increased,360
Liver injury,331
Liver transplant,18
Lobular breast carcinoma in situ,7
Local reaction,9
Local swelling,40
Localised infection,377
Localised oedema,31
Logorrhoea,78
Long QT syndrome,203
Loose tooth,56
Loss of bladder sensation,11
Loss of consciousness,1674
Loss of control of legs,15
Loss of employment,18
Loss of libido,195
Loss of personal independence in daily activities,855
Loss of proprioception,5
Loss of therapeutic response,24
Low birth weight baby,78
Low density lipoprotein abnormal,3
Low density lipoprotein increased,46
Low turnover osteopathy,2
Lower extremity mass,3
Lower gastrointestinal haemorrhage,298
Lower limb fracture,261
Lower respiratory tract infection,609
Lower respiratory tract infection fungal,5
Lower respiratory tract inflammation,2
Lumbar radiculopathy,20
Lumbar spinal stenosis,48
Lumbar vertebral fracture,62
Lumbosacral plexus lesion,2
Lumbosacral radiculopathy,6
Lung abscess,17
Lung adenocarcinoma,79
Lung adenocarcinoma metastatic,7
Lung adenocarcinoma stage I,5
Lung adenocarcinoma stage III,5
Lung adenocarcinoma stage IV,10
Lung cancer metastatic,76
Lung carcinoma cell type unspecified stage III,11
Lung consolidation,11
Lung cyst,19
Lung disorder,498
Lung infection,191
Lung infection pseudomonal,3
Lung infiltration,44
Lung neoplasm,28
Lung neoplasm malignant,394
Lung perforation,8
Lung squamous cell carcinoma metastatic,7
Lung transplant,66
Lupus anticoagulant hypoprothrombinaemia syndrome,1
Lupus vulgaris,4
Lupus-like syndrome,187
Lyme disease,95
Lymph node pain,16
Lymphadenectomy,16
Lymphadenitis,23
Lymphadenopathy,253
Lymphatic disorder,6
Lymphatic mapping,2
Lymphocele,4
Lymphocyte count abnormal,18
Lymphocyte count decreased,182
Lymphocyte count increased,17
Lymphocyte morphology abnormal,5
Lymphocytic leukaemia,5
Lymphocytosis,10
Lymphoedema,122
Lymphoma,101
Lymphopenia,222
Lymphoproliferative disorder,6
Macular degeneration,191
Macular fibrosis,7
Macular oedema,65
Macule,28
Maculopathy,469
Madarosis,58
Magnetic resonance imaging abnormal,12
Major depression,512
Malabsorption,80
Malaise,4500
Male genital atrophy,8
Malformation venous,3
Malignant hypertension,14
Malignant melanoma,294
Malignant melanoma in situ,34
Malignant melanoma stage IV,9
Malignant neoplasm progression,639
Malignant pituitary tumour,6
Malnutrition,63
Mammogram abnormal,10
Mammoplasty,14
Mania,818
Mantle cell lymphoma,12
Manufacturing issue,13
Mass,97
Mast cell activation syndrome,36
Mastectomy,26
Mastitis,34
Mastoid effusion,2
Mastoiditis,16
Maternal drugs affecting foetus,33
Maternal exposure before pregnancy,65
Maternal exposure during breast feeding,86
Maternal exposure during pregnancy,2214
Maternal exposure timing unspecified,78
Mean arterial pressure decreased,2
Mean cell haemoglobin concentration increased,2
Mean cell volume increased,3
Medical device discomfort,4
Medical device removal,9
Medical diet,1
Medical procedure,40
Medication error,841
Medication overuse headache,83
Medication residue present,130
Medullary thyroid cancer,6
Melaena,211
Melanocytic naevus,50
Melanoma recurrent,8
Melatonin deficiency,1
Memory impairment,1777
Meniere's disease,29
Meningioma,102
Meningism,3
Meningitis,82
Meningitis aseptic,57
Meningitis bacterial,12
Meningitis cryptococcal,16
Meningitis tuberculous,2
Meningitis viral,28
Meningoencephalitis herpetic,2
Meniscus injury,125
Meniscus operation,8
Menopausal symptoms,22
Menopause,44
Menorrhagia,183
Menstrual disorder,97
Menstruation delayed,88
Menstruation irregular,125
Mental disorder,640
Mental impairment,271
Mental status changes,404
Mesenteric artery thrombosis,9
Metabolic acidosis,336
Metabolic alkalosis,6
Metabolic disorder,51
Metabolic encephalopathy,89
Metabolic function test abnormal,5
Metabolic surgery,59
Metaphyseal corner fracture,2
Metapneumovirus infection,8
Metastases to bone,45
Metastases to central nervous system,49
Metastases to liver,87
Metastases to lung,24
Metastases to lymph nodes,17
Metastases to meninges,7
Metastases to nervous system,1
Metastases to pelvis,1
Metastases to peritoneum,9
Metastases to uterus,1
Metastasis,17
Metastatic carcinoma of the bladder,6
Metastatic gastric cancer,5
Metastatic malignant melanoma,33
Metastatic renal cell carcinoma,15
Metastatic uterine cancer,7
Methaemoglobinaemia,20
Metrorrhagia,83
Microangiopathic haemolytic anaemia,16
Microcytic anaemia,31
Microembolism,4
Micrographic skin surgery,3
Micturition disorder,65
Micturition urgency,170
Middle ear effusion,13
Middle insomnia,343
Migraine,2083
Migraine with aura,54
Migraine without aura,5
Migrainous infarction,1
Miliaria,24
Miosis,137
Mitochondrial encephalomyopathy,5
Mitochondrial toxicity,16
Mitral valve disease,37
Mitral valve incompetence,104
Mixed anxiety and depressive disorder,13
Mixed liver injury,172
Moaning,7
Mobility decreased,879
Monoclonal gammopathy,4
Monoparesis,15
Monoplegia,40
Mood altered,269
Mood disorder due to a general medical condition,6
Mood swings,278
Morganella infection,3
Morton's neuralgia,4
Motion sickness,22
Motor dysfunction,87
Motor neurone disease,12
Mouth cyst,3
Mouth haemorrhage,50
Mouth swelling,72
Mouth ulceration,287
Movement disorder,278
Mucormycosis,2
Mucosal discolouration,4
Mucosal haemorrhage,9
Mucosal inflammation,137
Mucous stools,51
Multi-organ failure,15
Multimorbidity,31
Multiple allergies,144
Multiple drug therapy,135
Multiple fractures,62
Multiple injuries,13
Multiple organ dysfunction syndrome,194
Multiple sclerosis,758
Multiple sclerosis relapse,1334
Multiple use of single-use product,4
Multiple-drug resistance,36
Muscle contractions involuntary,65
Muscle contracture,31
Muscle disorder,40
Muscle fatigue,30
Muscle haemorrhage,45
Muscle necrosis,8
Muscle rigidity,125
Muscle rupture,71
Muscle spasms,1744
Muscle spasticity,164
Muscle strain,75
Muscle tightness,168
Muscle twitching,426
Muscular dystrophy,3
Muscular weakness,715
Musculoskeletal chest pain,98
Musculoskeletal discomfort,116
Musculoskeletal disorder,160
Musculoskeletal pain,215
Musculoskeletal stiffness,730
Musculoskeletal toxicity,1
Myalgia,967
Myasthenia gravis,88
Myasthenia gravis crisis,5
Mycobacterium avium complex immune restoration disease,9
Mycobacterium avium complex infection,31
Mycobacterium tuberculosis complex test positive,32
Mycotic allergy,21
Mydriasis,270
Myelitis,10
Myelitis transverse,15
Myelodysplastic syndrome,117
Myeloid leukaemia,8
Myelopathy,18
Myeloproliferative neoplasm,5
Myocardial infarction,1488
Myocardial ischaemia,48
Myocarditis,145
Myoclonic epilepsy,37
Myoclonus,480
Myofascial pain syndrome,14
Myopathy,127
Myopathy toxic,5
Myositis,137
Myxoid cyst,1
Naevus flammeus,12
Nail bed tenderness,1
Nail disorder,52
Nail growth abnormal,5
Nail infection,14
Nail injury,5
Nail operation,8
Nail ridging,11
Narcolepsy,88
Narcotic bowel syndrome,4
Narrow anterior chamber angle,4
Nasal congestion,452
Nasal discharge discolouration,11
Nasal discomfort,50
Nasal disorder,25
Nasal dryness,21
Nasal operation,27
Nasal septal operation,22
Nasal ulcer,9
Nasopharyngitis,2101
Nausea,7027
Near death experience,22
Neck deformity,4
Neck mass,21
Neck pain,386
Neck surgery,96
Necrosis,15
Necrotising fasciitis,59
Needle issue,152
Negative thoughts,46
Neonatal respiratory distress syndrome,28
Neoplasm,91
Neoplasm malignant,522
Neoplasm progression,328
Neoplasm recurrence,28
Neoplasm skin,11
Neovascular age-related macular degeneration,48
Neovascularisation,25
Nephrectomy,39
Nephritis,26
Nephrogenic anaemia,116
Nephrogenic diabetes insipidus,21
Nephrogenic systemic fibrosis,6
Nephrolithiasis,1345
Nephropathy,67
Nephropathy toxic,41
Nephrotic syndrome,25
Nephroureterectomy,4
Nerve block,10
Nerve compression,108
Nerve injury,88
Nervous system disorder,137
Nervousness,336
Neuralgia,303
Neurodermatitis,26
Neuroendocrine carcinoma metastatic,3
Neuroendocrine tumour,23
Neurogenic bladder,32
Neurogenic shock,8
Neuroleptic malignant syndrome,876
Neurological decompensation,24
Neurological symptom,34
Neuromuscular blockade,3
Neuropathy peripheral,1167
Neuropsychiatric syndrome,2
Neurosarcoidosis,14
Neurosensory hypoacusis,3
Neurosis,8
Neurosurgery,8
Neurotoxicity,125
Neutralising antibodies,4
Neutropenia,1557
Neutropenia neonatal,1
Neutropenic colitis,17
Neutropenic infection,6
Neutropenic sepsis,129
Neutrophil count,1
Neutrophil count decreased,424
Neutrophil count increased,48
Neutrophilia,39
Nicotinamide increased,1
Nicotine dependence,137
Night sweats,458
Nightmare,1096
Nipple pain,17
No adverse event,1892
Nocturia,135
Nodule,101
Non-Hodgkin's lymphoma,68
Non-Hodgkin's lymphoma stage II,11
Non-alcoholic fatty liver,7
Non-alcoholic steatohepatitis,36
Non-cardiac chest pain,52
Non-small cell lung cancer,24
Non-small cell lung cancer metastatic,3
Noninfective encephalitis,9
Noninfective gingivitis,10
Nonspecific reaction,159
Normal pressure hydrocephalus,6
Normal tension glaucoma,2
Normocytic anaemia,29
Norovirus test positive,4
Nuclear magnetic resonance imaging abnormal,11
Nystagmus,56
Obesity,317
Obesity surgery,6
Obsessive thoughts,34
Obsessive-compulsive disorder,192
Obstruction,37
Obstructive airways disorder,152
Obstructive pancreatitis,17
Obstructive sleep apnoea syndrome,126
Occipital neuralgia,8
Occult blood positive,8
Ocular discomfort,137
Ocular hyperaemia,184
Ocular hypertension,48
Ocular icterus,15
Ocular neoplasm,1
Ocular vascular disorder,3
Oculogyric crisis,85
Odynophagia,31
Oedema,373
Oedema genital,4
Oedema peripheral,886
Oesophageal achalasia,21
Oesophageal candidiasis,40
Oesophageal carcinoma,73
Oesophageal disorder,23
Oesophageal infection,2
Oesophageal irritation,11
Oesophageal motility disorder,4
Oesophageal neoplasm,5
Oesophageal obstruction,28
Oesophageal pain,52
Oesophageal polyp,5
Oesophageal spasm,65
Oesophageal stenosis,27
Oesophageal ulcer,44
Oesophageal varices haemorrhage,31
Oesophagectomy,3
Oesophagitis,53
Oestradiol increased,5
Off label use,10509
Oligodipsia,2
On and off phenomenon,35
Onychoclasis,44
Onycholysis,20
Onychomadesis,14
Onychomycosis,43
Oophorectomy,15
Open angle glaucoma,24
Ophthalmic herpes zoster,23
Opisthotonus,6
Opportunistic infection,10
Optic disc drusen,4
Optic ischaemic neuropathy,82
Optic nerve disorder,11
Optic nerve infarction,4
Optic neuritis,80
Optic neuropathy,39
Oral administration complication,14
Oral candidiasis,150
Oral cavity fistula,1
Oral contusion,1
Oral discomfort,119
Oral disorder,86
Oral fungal infection,14
Oral herpes,223
Oral infection,61
Oral lichenoid reaction,2
Oral mucosal blistering,107
Oral mucosal eruption,16
Oral mucosal erythema,17
Oral pain,189
Oral pustule,6
Oral surgery,46
Orchidectomy,1
Orchitis,28
Orchitis noninfective,5
Organ failure,15
Organising pneumonia,102
Orgasm abnormal,22
Oroantral fistula,1
Oropharyngeal candidiasis,13
Oropharyngeal discomfort,56
Oropharyngeal pain,565
Oropharyngeal surgery,2
Orthostatic hypotension,820
Osteitis,31
Osteoarthritis,496
Osteochondroma,2
Osteomalacia,8
Osteomyelitis,159
Osteomyelitis acute,8
Osteonecrosis,192
Osteonecrosis of external auditory canal,3
Osteonecrosis of jaw,260
Osteopenia,193
Osteoporosis,344
Osteoporotic fracture,22
Otitis externa,22
Otitis media,18
Otitis media acute,5
Otorrhoea,8
Ototoxicity,13
Ovarian adhesion,13
Ovarian cancer,49
Ovarian cancer stage III,11
Ovarian cyst,103
Ovarian cyst ruptured,19
Ovarian disorder,6
Ovarian failure,3
Ovarian mass,9
Overdose,4348
Overweight,128
Ovulation disorder,2
Oxygen consumption increased,10
Oxygen saturation abnormal,19
Oxygen saturation decreased,368
Oxygen supplementation,2
PCO2 increased,5
Pain,4732
Pain in extremity,1731
Pain in jaw,182
Pain of skin,74
Painful respiration,2
Pallor,54
Palmar erythema,6
Palmar-plantar erythrodysaesthesia syndrome,96
Palmoplantar keratoderma,7
Palpitations,846
Pancreatic atrophy,8
Pancreatic carcinoma,189
Pancreatic carcinoma metastatic,56
Pancreatic carcinoma recurrent,7
Pancreatic carcinoma stage IV,6
Pancreatic cyst,14
Pancreatic mass,5
Pancreatic neoplasm,16
Pancreatic neuroendocrine tumour,3
Pancreatic pseudocyst,8
Pancreatitis,824
Pancreatitis acute,638
Pancreatitis chronic,41
Pancreatitis necrotising,39
Pancreatitis relapsing,16
Pancytopenia,625
Panic attack,504
Panic reaction,70
Papillary cystadenoma lymphomatosum,2
Papillary thyroid cancer,49
Papilloedema,61
Papilloma,4
Papule,40
Paradoxical drug reaction,54
Paraesthesia,1119
Paraesthesia ear,1
Paraesthesia oral,76
Parainfluenzae viral bronchitis,1
Parainfluenzae virus infection,21
Paralysis,126
Paranasal sinus discomfort,37
Paranasal sinus hypersecretion,8
Paraneoplastic syndrome,5
Paranoia,289
Paraplegia,24
Parasomnia,64
Parathyroid disorder,13
Paresis,15
Parkinson's disease,552
Parkinsonian gait,24
Parkinsonism,669
Paronychia,17
Parosmia,129
Partial seizures,73
Parvovirus infection,4
Patella fracture,31
Pathogen resistance,16
Pathological fracture,40
Patient dissatisfaction with treatment,41
Peak expiratory flow rate decreased,1
Pelvic fracture,46
Pelvic infection,5
Pelvic pain,59
Pelvic venous thrombosis,10
Pemphigoid,250
Penile blister,4
Penile cancer,4
Penile swelling,18
Perforated ulcer,13
Performance status decreased,23
Periarthritis,26
Pericardial effusion,206
Pericarditis,156
Pericarditis adhesive,2
Perichondritis,7
Perineal pain,5
Periodic limb movement disorder,16
Periodontitis,11
Periorbital cellulitis,11
Periorbital oedema,64
Periorbital swelling,31
Peripheral arterial occlusive disease,29
Peripheral artery occlusion,18
Peripheral artery stenosis,7
Peripheral artery thrombosis,12
Peripheral circulatory failure,2
Peripheral coldness,60
Peripheral embolism,18
Peripheral ischaemia,40
Peripheral motor neuropathy,10
Peripheral nerve injury,7
Peripheral sensory neuropathy,40
Peripheral swelling,1303
Peripheral vascular disorder,21
Periphlebitis,1
Periprosthetic fracture,2
Perirectal abscess,11
Peritoneal abscess,1
Peritoneal tuberculosis,1
Peritonitis,59
Peritonitis bacterial,30
Peroneal nerve palsy,21
Persistent depressive disorder,7
Persistent genital arousal disorder,91
Personality change,74
Personality disorder,53
Pertussis,13
Petechiae,68
Petit mal epilepsy,96
Pharyngeal cyst,4
Pharyngeal disorder,5
Pharyngeal hypoaesthesia,5
Pharyngeal oedema,110
Pharyngeal operation,15
Pharyngeal paraesthesia,14
Pharyngeal swelling,152
Pharyngitis,94
Pharyngitis streptococcal,154
Phlebitis,55
Phonophobia,5
Photodermatosis,20
Photophobia,117
Photopsia,70
Photosensitivity reaction,169
Physical assault,21
Pigment dispersion syndrome,1
Pigmentary maculopathy,57
Pigmentation disorder,46
Pilonidal cyst,12
Pituitary tumour benign,62
Plasma cell leukaemia,3
Plasma cell myeloma,583
Plasma cell myeloma recurrent,56
Plasmacytoma,30
Platelet count abnormal,33
Platelet count decreased,683
Platelet count increased,59
Pleocytosis,1
Pleural effusion,361
Pleurisy,48
Pleuritic pain,26
Pleurothotonus,155
Plicated tongue,6
Pneumatosis intestinalis,10
Pneumococcal sepsis,8
Pneumocystis jirovecii infection,10
Pneumocystis jirovecii pneumonia,72
Pneumonia,4909
Pneumonia aspiration,585
Pneumonia bacterial,79
Pneumonia cryptococcal,1
Pneumonia cytomegaloviral,6
Pneumonia escherichia,1
Pneumonia fungal,35
Pneumonia influenzal,12
Pneumonia klebsiella,11
Pneumonia legionella,39
Pneumonia necrotising,5
Pneumonia pneumococcal,11
Pneumonia pseudomonal,20
Pneumonia streptococcal,12
Pneumonia viral,55
Pneumonitis,362
Pneumoperitoneum,13
Pneumothorax,97
Poikiloderma,1
Poisoning,315
Poisoning deliberate,640
Pollakiuria,382
Polyarteritis nodosa,2
Polyarthritis,42
Polychromasia,1
Polycystic ovaries,74
Polycythaemia,35
Polydactyly,24
Polymyalgia rheumatica,28
Polyneuropathy,161
Polyneuropathy idiopathic progressive,2
Polyp,48
Polyuria,61
Poor peripheral circulation,15
Poor quality drug administered,33
Poor quality product administered,70
Poor quality sleep,276
Poor venous access,110
Post concussion syndrome,17
Post herpetic neuralgia,12
Post inflammatory pigmentation change,11
Post lumbar puncture syndrome,29
Post procedural complication,80
Post procedural discharge,3
Post procedural drainage,1
Post procedural haemorrhage,63
Post procedural infection,90
Post procedural oedema,3
Post procedural sepsis,4
Post procedural swelling,18
Post-traumatic neck syndrome,33
Post-traumatic pain,3
Post-traumatic stress disorder,110
Posterior reversible encephalopathy syndrome,187
Postmenopausal haemorrhage,85
Postmortem blood drug level,4
Postmortem blood drug level increased,41
Postoperative ileus,1
Postoperative wound complication,14
Postoperative wound infection,89
Postural orthostatic tachycardia syndrome,85
Potentiating drug interaction,136
Pouchitis,7
Pre-eclampsia,94
Pre-existing condition improved,978
Pre-existing disease,13
Precancerous cells present,14
Precancerous condition,17
Precancerous skin lesion,28
Pregnancy,210
Pregnancy test false positive,11
Pregnancy with implant contraceptive,38
Premature baby,185
Premature delivery,125
Premature labour,45
Premenstrual dysphoric disorder,8
Prescribed overdose,604
Prescribed underdose,224
Prescription drug used without a prescription,117
Presyncope,248
Primary amyloidosis,1
Primary hypothyroidism,1
Procedural complication,32
Procedural intestinal perforation,1
Procedural pain,131
Proctalgia,40
Proctectomy,4
Proctitis,17
Proctitis ulcerative,6
Proctocolectomy,2
Product adhesion issue,187
Product administered at inappropriate site,51
Product administered by wrong person,4
Product administered to patient of inappropriate age,49
Product administration error,208
Product administration interrupted,606
Product after taste,15
Product appearance confusion,22
Product availability issue,253
Product colour issue,38
Product commingling,14
Product communication issue,36
Product complaint,73
Product container issue,29
Product contamination microbial,4
Product contamination physical,10
Product difficult to swallow,8
Product dispensing error,310
Product dispensing issue,16
Product distribution issue,73
Product dose confusion,4
Product dose omission,1203
Product dose omission in error,350
Product dose omission issue,3685
Product expiration date issue,4
Product formulation issue,40
Product label confusion,20
Product label issue,46
Product lot number issue,8
Product odour abnormal,217
Product packaging confusion,13
Product packaging issue,21
Product packaging quantity issue,32
Product physical issue,177
Product preparation error,105
Product preparation issue,20
Product prescribing error,318
Product prescribing issue,120
Product quality issue,336
Product reconstitution quality issue,3
Product residue present,129
Product selection error,17
Product size issue,22
Product solubility abnormal,33
Product storage error,239
Product substitution issue,594
Product supply issue,43
Product taste abnormal,88
Product temperature excursion issue,11
Product use complaint,97
Product use in unapproved indication,3366
Product use issue,1363
Product used for unknown indication,216
Productive cough,331
Progressive multifocal leukoencephalopathy,162
Prolapse,1
Prolapse repair,2
Prolonged expiration,3
Prostate cancer,187
Prostate cancer metastatic,19
Prostate cancer stage II,4
Prostate infection,20
Prostatic operation,7
Prostatic specific antigen increased,74
Prostatitis,31
Prostatomegaly,32
Prosthesis user,1
Protein total increased,8
Protein urine,3
Proteinuria,55
Prothrombin time shortened,4
Prurigo,10
Pruritus,3036
Pruritus generalised,215
Pruritus genital,11
Pseudocellulitis,1
Pseudomonal bacteraemia,8
Pseudomonas infection,53
Pseudophaeochromocytoma,5
Pseudopolyp,2
Psoriasis,2000
Psoriatic arthropathy,805
Psychiatric decompensation,180
Psychiatric symptom,73
Psychogenic seizure,37
Psychological abuse,2
Psychomotor hyperactivity,220
Psychomotor retardation,114
Psychomotor skills impaired,87
Psychopathic personality,3
Psychotic disorder,821
Psychotic disorder due to a general medical condition,12
Pulmonary alveolar haemorrhage,35
Pulmonary arterial hypertension,97
Pulmonary artery stenosis,15
Pulmonary cavitation,9
Pulmonary congestion,102
Pulmonary embolism,1570
Pulmonary eosinophilia,28
Pulmonary fibrosis,162
Pulmonary function test decreased,25
Pulmonary haemorrhage,55
Pulmonary hypertension,115
Pulmonary infarction,6
Pulmonary mass,122
Pulmonary mycosis,4
Pulmonary oedema,286
Pulmonary sepsis,31
Pulmonary thrombosis,171
Pulmonary toxicity,40
Pulmonary tuberculosis,14
Pulmonary valve disease,6
Pulse absent,14
Pulseless electrical activity,33
Purpura,157
Purulent discharge,6
Pustular psoriasis,29
Pustule,17
Pyelocaliectasis,2
Pyelonephritis,139
Pyelonephritis acute,33
Pyloric stenosis,11
Pyoderma gangrenosum,21
Pyonephrosis,1
Pyramidal tract syndrome,8
Pyrexia,1580
Pyroglutamic acidosis,5
Pyuria,8
QRS axis abnormal,2
Quadriplegia,5
Quality of life decreased,109
Radiation injury,3
Radiation skin injury,2
Radical prostatectomy,1
Radiculopathy,18
Rales,17
Rapid eye movement sleep behaviour disorder,54
Rash,3577
Rash erythematous,287
Rash generalised,223
Rash macular,253
Rash maculo-papular,200
Rash morbilliform,17
Rash papular,101
Rash pruritic,555
Rash pustular,29
Rash vesicular,35
Raynaud's phenomenon,94
Reaction to drug excipients,12
Reading disorder,14
Rebound acid hypersecretion,119
Rebound effect,77
Rebound psoriasis,3
Recalled product,13
Recalled product administered,38
Rectal adenocarcinoma,8
Rectal cancer,40
Rectal cancer metastatic,2
Rectal cancer recurrent,1
Rectal discharge,9
Rectal haemorrhage,462
Rectal prolapse,16
Rectal stenosis,9
Rectocele,7
Recurrent cancer,29
Red blood cell count decreased,138
Red blood cell sedimentation rate increased,42
Red blood cells urine positive,4
Refractory anaemia with an excess of blasts,5
Refusal of treatment by patient,33
Renal abscess,4
Renal cancer,72
Renal cancer metastatic,6
Renal cell carcinoma,27
Renal cell carcinoma stage I,2
Renal colic,19
Renal disorder,327
Renal failure,1170
Renal function test abnormal,90
Renal haemorrhage,15
Renal hypertrophy,2
Renal impairment,615
Renal infarct,10
Renal injury,147
Renal ischaemia,2
Renal mass,24
Renal pain,70
Renal phospholipidosis,2
Renal transplant,28
Renal tubular acidosis,18
Renal tubular injury,8
Renal tubular necrosis,60
Reperfusion arrhythmia,12
Respiration abnormal,60
Respiratory acidosis,57
Respiratory alkalosis,7
Respiratory arrest,152
Respiratory depression,626
Respiratory disorder,203
Respiratory disorder neonatal,60
Respiratory distress,130
Respiratory failure,456
Respiratory rate decreased,26
Respiratory rate increased,26
Respiratory symptom,21
Respiratory syncytial virus bronchiolitis,1
Respiratory syncytial virus infection,82
Respiratory tract congestion,56
Respiratory tract infection,374
Respiratory tract infection viral,27
Respiratory tract inflammation,2
Resting tremor,16
Restless legs syndrome,620
Restlessness,412
Restrictive cardiomyopathy,6
Restrictive pulmonary disease,6
Retching,141
Retinal aneurysm,7
Retinal anomaly congenital,2
Retinal artery occlusion,17
Retinal degeneration,20
Retinal detachment,259
Retinal drusen,7
Retinal dystrophy,62
Retinal haemorrhage,29
Retinal injury,5
Retinal pigment epithelial tear,2
Retinal pigment epitheliopathy,8
Retinal pigmentation,103
Retinal tear,33
Retinal vascular thrombosis,3
Retinal vein occlusion,52
Retinitis,9
Retinopathy,35
Retroperitoneal haematoma,27
Retroperitoneal haemorrhage,11
Reversible cerebral vasoconstriction syndrome,501
Rhabdomyolysis,561
Rheumatic disorder,11
Rheumatoid arthritis,957
Rheumatoid nodule,26
Rhinalgia,19
Rhinitis,57
Rhinorrhoea,295
Rhinovirus infection,29
Rib fracture,195
