pt,no_events_global
Blood copper,3
Blood copper abnormal,3
Blood copper decreased,14
Blood copper increased,55
Blood corticosterone abnormal,1
Blood corticosterone increased,8
Blood corticotrophin abnormal,28
Blood corticotrophin decreased,169
Blood corticotrophin increased,78
Blood cortisol,1
Blood cortisol abnormal,11
Blood cortisol decreased,96
Blood cortisol increased,47
Blood count,12
Blood count abnormal,8405
Blood count normal,2
Blood creatine,10
Blood creatine abnormal,170
Blood creatine decreased,114
Blood creatine increased,1411
Blood creatine phosphokinase,45
Blood creatine phosphokinase abnormal,126
Blood creatine phosphokinase BB increased,6
Blood creatine phosphokinase decreased,65
Blood creatine phosphokinase increased,8488
Blood creatine phosphokinase MB,6
Blood creatine phosphokinase MB abnormal,6
Blood creatine phosphokinase MB increased,177
Blood creatine phosphokinase MM increased,11
Blood creatinine,44
Blood creatinine abnormal,1253
Blood creatinine decreased,663
Blood creatinine increased,19837
Blood creatinine normal,1
Blood culture,5
Blood culture negative,30
Blood culture positive,459
Blood cyanide increased,6
Blood disorder,2981
Blood donor,1
Blood elastase,1
Blood elastase decreased,1
Blood elastase increased,2
Blood electrolytes abnormal,354
Blood electrolytes decreased,492
Blood electrolytes increased,34
Blood electrolytes normal,1
Blood erythropoietin abnormal,38
Blood erythropoietin decreased,4
Blood erythropoietin increased,17
Blood ethanal increased,1
Blood ethanol,11
Blood ethanol increased,32
Blood fibrinogen,1
Blood fibrinogen abnormal,11
Blood fibrinogen decreased,255
Blood fibrinogen increased,77
Blood folate abnormal,4
Blood folate decreased,158
Blood folate increased,33
Blood follicle stimulating hormone abnormal,15
Blood follicle stimulating hormone decreased,41
Blood follicle stimulating hormone increased,76
Blood galactose increased,2
Blood gases,4
Blood gases abnormal,120
Blood gases normal,2
Blood gastrin decreased,1
Blood gastrin increased,31
Blood glucagon abnormal,2
Blood glucagon decreased,5
Blood glucagon increased,16
Blood glucose,61
Blood glucose abnormal,9172
Blood glucose decreased,19776
Blood glucose false positive,11
Blood glucose fluctuation,4008
Blood glucose increased,81596
Blood glucose normal,21
Blood gold increased,1
Blood gonadotrophin abnormal,1
Blood gonadotrophin decreased,10
Blood gonadotrophin increased,10
Blood growth hormone abnormal,48
Blood growth hormone decreased,86
Blood growth hormone increased,201
Blood growth hormone normal,2
Blood growth hormone releasing hormone increased,1
Blood HCV RNA below assay limit,4
Blood heavy metal abnormal,10
Blood heavy metal increased,21
Blood HIV RNA,36
Blood HIV RNA below assay limit,6
Blood HIV RNA decreased,3
Blood HIV RNA fluctuation,3
Blood HIV RNA increased,1116
Blood homocysteine abnormal,3
Blood homocysteine decreased,3
Blood homocysteine increased,83
Blood hyposmosis,23
Blood immunoglobulin A,1
Blood immunoglobulin A abnormal,16
Blood immunoglobulin A decreased,188
Blood immunoglobulin A increased,121
Blood immunoglobulin D decreased,1
Blood immunoglobulin E,8
Blood immunoglobulin E abnormal,25
Blood immunoglobulin E decreased,30
Blood immunoglobulin E increased,448
Blood immunoglobulin G,8
Blood immunoglobulin G abnormal,39
Blood immunoglobulin G decreased,654
Blood immunoglobulin G increased,344
Blood immunoglobulin G normal,1
Blood immunoglobulin M,2
Blood immunoglobulin M abnormal,21
Blood immunoglobulin M decreased,195
Blood immunoglobulin M increased,171
Blood incompatibility haemolytic anaemia of newborn,2
Blood insulin,1
Blood insulin abnormal,61
Blood insulin decreased,40
Blood insulin increased,151
Blood iron,6
Blood iron abnormal,524
Blood iron decreased,3766
Blood iron increased,580
Blood iron normal,1
Blood isopropanol increased,1
Blood ketone body,72
Blood ketone body decreased,15
Blood ketone body increased,279
Blood ketone body present,54
Blood lactate dehydrogenase,9
Blood lactate dehydrogenase abnormal,172
Blood lactate dehydrogenase decreased,63
Blood lactate dehydrogenase increased,2295
Blood lactic acid,28
Blood lactic acid abnormal,21
Blood lactic acid decreased,20
Blood lactic acid increased,1054
Blood lead,1
Blood lead decreased,2
Blood lead increased,19
Blood loss anaemia,980
Blood loss assessment,1
Blood luteinising hormone abnormal,13
Blood luteinising hormone decreased,15
Blood luteinising hormone increased,59
Blood magnesium,3
Blood magnesium abnormal,120
Blood magnesium decreased,2215
Blood magnesium increased,145
Blood mercury abnormal,22
Blood methaemoglobin,7
Blood methaemoglobin present,15
Blood methanol,10
Blood methanol increased,5
Blood oestrogen abnormal,69
Blood oestrogen decreased,250
Blood oestrogen increased,207
Blood osmolarity,12
Blood osmolarity abnormal,10
Blood osmolarity decreased,129
Blood osmolarity increased,35
Blood parathyroid hormone,3
Blood parathyroid hormone abnormal,373
Blood parathyroid hormone decreased,365
Blood parathyroid hormone increased,1004
Blood parathyroid hormone normal,1
Blood pH,1
Blood pH abnormal,5
Blood pH decreased,88
Blood pH increased,48
Blood phosphorus,6
Blood phosphorus abnormal,112
Blood phosphorus decreased,1097
Blood phosphorus increased,575
Blood potassium,9
Blood potassium abnormal,833
Blood potassium decreased,7884
Blood potassium increased,5000
Blood potassium normal,3
Blood pregnenolone increased,1
Blood pressure,18
Blood pressure abnormal,7663
Blood pressure ambulatory,1
Blood pressure ambulatory decreased,2
Blood pressure ambulatory increased,12
Blood pressure decreased,21821
Blood pressure diastolic,1
Blood pressure diastolic abnormal,758
Blood pressure diastolic decreased,1674
Blood pressure diastolic increased,1181
Blood pressure diastolic normal,3
Blood pressure difference of extremities,24
Blood pressure fluctuation,10317
Blood pressure immeasurable,229
Blood pressure inadequately controlled,1702
Blood pressure increased,52736
Blood pressure management,14
Blood pressure measurement,235
Blood pressure normal,18
Blood pressure orthostatic,41
Blood pressure orthostatic abnormal,35
Blood pressure orthostatic decreased,112
Blood pressure orthostatic increased,9
Blood pressure systolic,13
Blood pressure systolic abnormal,278
Blood pressure systolic decreased,1066
Blood pressure systolic increased,4057
Blood pressure systolic inspiratory decreased,9
Blood product transfusion,16
Blood product transfusion dependent,122
Blood proinsulin increased,1
Blood prolactin,9
Blood prolactin abnormal,193
Blood prolactin decreased,58
Blood prolactin increased,1824
Blood prolactin normal,1
Blood pyruvic acid,1
Blood selenium,1
Blood selenium abnormal,1
Blood selenium decreased,1
Blood selenium increased,5
Blood smear test abnormal,14
Blood sodium,1
Blood sodium abnormal,230
Blood sodium decreased,4205
Blood sodium increased,512
Blood stem cell harvest,13
Blood stem cell harvest failure,40
Blood stem cell transplant failure,99
Blood test,86
Blood test abnormal,5474
Blood test normal,7
Blood testosterone,7
Blood testosterone abnormal,521
Blood testosterone decreased,2496
Blood testosterone free abnormal,1
Blood testosterone free decreased,17
Blood testosterone free increased,12
Blood testosterone increased,809
Blood testosterone normal,2
Blood thrombin,2
Blood thrombin decreased,1
Blood thrombin increased,5
Blood thromboplastin abnormal,1
Blood thromboplastin decreased,1
Blood thromboplastin increased,3
Blood thyroid stimulating hormone,166
Blood thyroid stimulating hormone abnormal,576
Blood thyroid stimulating hormone decreased,1257
Blood thyroid stimulating hormone increased,2594
Blood thyroid stimulating hormone normal,300
Blood triglycerides,7
Blood triglycerides abnormal,156
Blood triglycerides decreased,65
Blood triglycerides increased,3422
Blood triglycerides normal,3
Blood type incompatibility,2
Blood urea,2
Blood urea abnormal,67
Blood urea decreased,67
Blood urea increased,847
Blood urea nitrogen/creatinine ratio,2
Blood urea nitrogen/creatinine ratio decreased,7
Blood urea nitrogen/creatinine ratio increased,64
Blood uric acid,5
Blood uric acid abnormal,93
Blood uric acid decreased,44
Blood uric acid increased,1134
Blood urine,208
Blood urine absent,1
Blood urine present,6872
Blood viscosity abnormal,39
Blood viscosity decreased,182
Blood viscosity increased,171
Bloody discharge,393
Bloody peritoneal effluent,476
Blood zinc abnormal,2
Blood zinc decreased,20
Blood zinc increased,3
Bloom syndrome,4
Blount's disease,3
Blue toe syndrome,89
Blunted affect,167
B-lymphocyte abnormalities,39
B-lymphocyte count,3
B-lymphocyte count abnormal,100
B-lymphocyte count decreased,555
B-lymphocyte count increased,71
Body dysmorphic disorder,30
Body fat disorder,153
Body height,1
Body height abnormal,42
Body height above normal,3
Body height below normal,128
Body height decreased,4964
Body height increased,132
Body mass index,3
Body mass index abnormal,54
Body mass index decreased,98
Body mass index increased,338
Body modification,6
Body surface area,2
Body surface area decreased,32
Body surface area increased,47
Body temperature,60
Body temperature abnormal,685
Body temperature decreased,1694
Body temperature fluctuation,554
Body temperature increased,5036
Body temperature normal,1
Body tinea,195
Bone abscess,178
Bone anchored hearing aid implantation,2
Bone atrophy,47
Bone callus excessive,33
Bone cancer,2529
Bone cancer metastatic,237
Bone cement implantation syndrome,4
Bone contusion,285
Bone cyst,270
Bone cyst excision,1
Bone debridement,3
Bone decalcification,74
Bone deformity,225
Bone demineralisation,189
Bone densitometry,20
Bone density abnormal,1670
Bone density decreased,26034
Bone density increased,127
Bone development abnormal,103
Bone disorder,4442
Bone electrostimulation therapy,1
Bone erosion,1093
Bone fissure,117
Bone fistula,68
Bone formation decreased,40
Bone formation increased,56
Bone formation test abnormal,1
Bone fragmentation,116
Bone giant cell tumour,215
Bone giant cell tumour benign,28
Bone giant cell tumour malignant,26
Bone graft,245
Bone graft lysis,6
Bone graft removal,2
Bone hyperpigmentation,63
Bone hypertrophy,28
Bone infarction,140
Bone lesion,931
Bone lesion excision,39
Bone loss,3039
Bone marrow conditioning regimen,1
Bone marrow disorder,909
Bone marrow donation,1
Bone marrow eosinophilic leukocyte count increased,2
Bone marrow failure,10521
Bone marrow granuloma,18
Bone marrow haemorrhage,4
Bone marrow harvest,1
Bone marrow harvest failure,1
Bone marrow infiltration,154
Bone marrow ischaemia,1
Bone marrow leukaemic cell infiltration,16
Bone marrow myelogram abnormal,49
Bone marrow necrosis,63
Bone marrow oedema,233
Bone marrow oedema syndrome,15
Bone marrow plasmacyte count increased,2
Bone marrow reticulin fibrosis,61
Bone marrow toxicity,565
Bone marrow transplant,712
Bone marrow transplant rejection,69
Bone marrow tumour cell infiltration,29
Bone metabolism biochemical marker increased,9
Bone metabolism disorder,81
Bone neoplasm,405
Bone non-union,4
Bone operation,221
Bone pain,16395
Bone prosthesis insertion,12
Bone resorption test,1
Bone resorption test abnormal,12
Bone sarcoma,12
Bone scan,8
Bone scan abnormal,109
Bone sequestrum,77
Bone swelling,243
Bone trimming,3
Bone tuberculosis,135
Booster dose missed,2
Borderline glaucoma,49
Borderline leprosy,14
Borderline mucinous tumour of ovary,5
Borderline ovarian tumour,29
Borderline personality disorder,168
Borderline serous tumour of ovary,17
Bordetella infection,23
Bordetella test positive,12
Boredom,77
Borrelia infection,129
Borrelia test positive,20
Botryomycosis,38
Botulinum toxin injection,9
Botulism,137
Boutonneuse fever,7
Bovine tuberculosis,21
Bowel movement irregularity,2234
Bowel obstruction surgery,9
Bowel preparation,2
Bowenoid papulosis,8
Bowen's disease,568
B precursor type acute leukaemia,201
Brachial artery entrapment syndrome,24
Brachial plexopathy,75
Brachial plexus injury,62
Brachial pulse abnormal,1
Brachiocephalic arteriosclerosis,1
Brachiocephalic artery occlusion,4
Brachiocephalic artery stenosis,21
Brachiocephalic vein occlusion,5
Brachiocephalic vein stenosis,4
Brachiocephalic vein thrombosis,67
Brachioradial pruritus,5
Brachycephaly,19
Brachydactyly,112
Brachyspira infection,4
Brachytherapy,13
Brachytherapy to prostate,5
Bradyarrhythmia,525
Bradycardia,18417
Bradycardia foetal,361
Bradycardia neonatal,416
Bradykinesia,1730
Bradyphagia,2
Bradyphrenia,2289
Bradypnoea,775
BRAF gene mutation,65
BRAF V600E mutation positive,26
Brain abscess,915
Brain cancer metastatic,368
Brain compression,126
Brain contusion,383
Brain death,920
Brain dislocation syndrome,2
Brain empyema,19
Brain fog,780
Brain herniation,915
Brain hypoxia,336
Brain injury,4118
Brain lobectomy,21
Brain malformation,131
Brain mass,57
Brain midline shift,250
Brain natriuretic peptide,2
Brain natriuretic peptide abnormal,59
Brain natriuretic peptide decreased,19
Brain natriuretic peptide increased,688
Brain neoplasm,4382
Brain neoplasm benign,207
Brain neoplasm malignant,2870
Brain oedema,3461
Brain operation,1063
Brain radiation necrosis,4
Brain sarcoma,17
Brain scan abnormal,76
Brain stem auditory evoked response abnormal,12
Brain stem embolism,4
Brain stem glioma,44
Brain stem glioma benign,2
Brain stem haematoma,29
Brain stem haemorrhage,457
Brain stem infarction,399
Brain stem ischaemia,46
Brain stem microhaemorrhage,7
Brain stem stroke,237
Brain stem syndrome,159
Brain stem thrombosis,19
Brain stent insertion,8
Brain teratoma,11
Brain tumour operation,76
Branchial cleft sinus,6
Branchial cyst,7
Branchiogenic syndrome,4
BRASH syndrome,414
BRCA1 gene mutation,27
BRCA2 gene mutation,48
Breakthrough COVID-19,60
Breakthrough haemolysis,85
Breakthrough pain,954
Breast abscess,408
Breast adenoma,7
Breast angiosarcoma,14
Breast angiosarcoma metastatic,3
Breast atrophy,50
Breast calcifications,218
Breast cancer,64050
Breast cancer female,10646
Breast cancer in situ,126
Breast cancer male,305
Breast cancer metastatic,3682
Breast cancer recurrent,1170
Breast cancer stage I,8767
Breast cancer stage II,7101
Breast cancer stage III,4105
Breast cancer stage IV,2235
Breast capsulectomy,1
Breast cellulitis,99
Breast complication associated with device,4
Breast conserving surgery,177
Breast cyst,558
Breast cyst excision,42
Breast cyst rupture,7
Breast discharge,537
Breast discharge infected,2
Breast discolouration,41
Breast discomfort,255
Breast disorder,670
Breast disorder female,85
Breast disorder male,46
Breast dysplasia,15
Breast engorgement,66
Breast enlargement,1064
Breast feeding,527
Breast fibroma,13
Breast fibrosis,16
Breast haematoma,86
Breast haemorrhage,106
Breast hyperplasia,116
Breast induration,44
Breast inflammation,86
Breast injury,49
Breast lump removal,13
Breast malformation,1
Breast mass,1854
Breast milk discolouration,10
Breast milk substitute intolerance,4
Breast necrosis,40
Breast neoplasm,474
Breast oedema,37
Breast operation,216
Breast pain,2415
Breast procedural complication,3
Breast proliferative changes,1
Breast prosthesis implantation,41
Breast prosthesis removal,22
Breast prosthesis user,16
Breast reconstruction,131
Breast sarcoma,5
Breast scan,1
Breast scan abnormal,3
Breast swelling,469
Breast tenderness,1692
Breast tumour excision,12
Breast ulceration,48
Breath alcohol test,3
Breath alcohol test negative,1
Breath alcohol test positive,72
Breath holding,56
Breathing-related sleep disorder,86
Breath odour,683
Breath sounds,49
Breath sounds abnormal,877
Breath sounds absent,24
Breath sounds normal,2
Breech delivery,31
Breech presentation,686
Brenner tumour,5
Brevibacterium infection,2
Brief psychotic disorder with marked stressors,58
"Brief psychotic disorder, with postpartum onset",24
Brief resolved unexplained event,12
Broad ligament haematoma,2
Bromhidrosis,3
Bromoderma,2
Bronchial anastomosis,2
Bronchial anastomosis complication,5
Bronchial artery aneurysm,4
Bronchial artery embolisation,13
Bronchial artery hypertrophy,1
Bronchial aspiration procedure,4
Bronchial atresia,2
Bronchial carcinoma,352
Bronchial disorder,493
Bronchial dysplasia,4
Bronchial fistula,98
Bronchial haemorrhage,123
Bronchial hyperreactivity,226
Bronchial injury,19
Bronchial irritation,69
Bronchial lesion excision,1
Bronchial metaplasia,1
Bronchial mucosa hyperaemia,1
Bronchial neoplasm,28
Bronchial obstruction,327
Bronchial oedema,17
Bronchial polyp,5
Bronchial scarring,2
Bronchial secretion retention,280
Bronchial ulceration,4
Bronchial varices haemorrhage,1
Bronchial wall thickening,81
Bronchiectasis,1925
Bronchiolitis,1288
Bronchiolitis obliterans syndrome,39
Bronchioloalveolar carcinoma,42
Bronchitis,30714
Bronchitis bacterial,254
Bronchitis chemical,4
Bronchitis chronic,632
Bronchitis fungal,8
Bronchitis haemophilus,11
Bronchitis moraxella,5
Bronchitis mycoplasmal,7
Bronchitis pneumococcal,5
Bronchitis viral,257
Bronchoalveolar lavage,14
Bronchoalveolar lavage abnormal,18
Bronchogenic cyst,8
Broncholithiasis,2
Bronchomalacia,40
Bronchoplasty,19
Bronchopleural fistula,123
Bronchopneumonia,295
Bronchopneumopathy,180
Bronchopulmonary aspergillosis,3075
Bronchopulmonary aspergillosis allergic,148
Bronchopulmonary disease,29
Bronchopulmonary dysplasia,213
Bronchoscopy,101
Bronchoscopy abnormal,12
Bronchospasm,4450
Bronchospasm paradoxical,95
Bronchostenosis,179
Bronchotomy,7
Brown-Sequard syndrome,39
Brown tumour,19
Brow presentation,2
Brow ptosis,437
Brucella test positive,2
Brucellosis,49
Brudzinski's sign,4
Brugada syndrome,448
Brunner's gland hyperplasia,12
Brunner syndrome,1
Bruxism,1572
Buccal mucosal roughening,39
Buccal polyp,1
Buccoglossal syndrome,5
Budd-Chiari syndrome,70
Bulbar palsy,55
Bulbar poliomyelitis,1
Bulbospinal muscular atrophy congenital,37
Bulimia nervosa,95
Bullous erysipelas,4
Bullous haemorrhagic dermatosis,63
Bullous impetigo,21
Bullous lung disease,25
Bundle branch block,185
Bundle branch block bilateral,9
Bundle branch block left,836
Bundle branch block right,641
Bunion operation,166
Burglary victim,4
Buried penis syndrome,7
Burkholderia cepacia complex infection,104
Burkholderia cepacia complex sepsis,13
Burkholderia gladioli infection,10
Burkholderia infection,50
Burkholderia mallei infection,2
Burkholderia pseudomallei infection,35
Burkholderia test positive,73
Burkitt's leukaemia,10
Burkitt's lymphoma,238
Burkitt's lymphoma recurrent,13
Burkitt's lymphoma refractory,9
Burkitt's lymphoma stage II,1
Burkitt's lymphoma stage III,5
Burkitt's lymphoma stage IV,17
Burn dressing,2
Burn infection,112
Burning feet syndrome,99
Burning mouth syndrome,261
Burning sensation,23988
Burning sensation mucosal,84
Burn oesophageal,178
Burn of internal organs,38
Burn oral cavity,335
Burnout syndrome,129
Burns first degree,89
Burns fourth degree,11
Burns second degree,407
Burns third degree,310
Bursa calcification,5
Bursa disorder,63
Bursa injury,8
Bursal fluid accumulation,17
Bursal haematoma,5
Bursal operation,4
Bursa removal,18
Bursitis,2125
Bursitis infective,216
Bursitis infective staphylococcal,26
Buschke-Lowenstein's tumour,2
Butanol-extractable iodine decreased,1
Butterfly rash,357
Buttock claudication,1
Buttock crushing,2
Buttock injury,113
Byssinosis,5
C1 esterase inhibitor decreased,5
C1q nephropathy,1
C3 glomerulopathy,69
Cachexia,1215
CADASIL,6
Caecectomy,3
Caecostomy,1
Caecum operation,5
Caesarean delivery on maternal request,1
Caesarean section,4100
Cafe au lait spots,24
Caffeine allergy,12
Caffeine consumption,11
Caffeine dependence,3
Calcanectomy,4
Calcification metastatic,18
Calcification of muscle,30
Calcific deposits removal,2
Calcineurin inhibitor induced pain syndrome,5
Calcinosis,553
Calciphylaxis,1036
Calcitonin secretion disorder,1
Calcium deficiency,208
Calcium embolism,1
Calcium intoxication,6
Calcium ionised decreased,19
Calcium ionised increased,8
Calcium metabolism disorder,46
Calcium phosphate product increased,1
Calculus bladder,478
Calculus prostatic,9
Calculus ureteric,82
Calculus urethral,46
Calculus urinary,505
Calicivirus test positive,1
Callus formation delayed,12
CALR gene mutation,2
Calyceal diverticulum,2
Camptocormia,134
Camptodactyly-arthropathy-coxa vara-pericarditis syndrome,1
Camptodactyly congenital,2
Campylobacter colitis,31
Campylobacter gastroenteritis,283
Campylobacter infection,285
Campylobacter sepsis,18
Campylobacter test positive,23
Cancer fatigue,43
Cancer gene carrier,5
Cancer in remission,100
Cancer pain,1007
Cancer screening,3
Cancer screening abnormal,1
Cancer staging,2
Cancer surgery,543
Cancer with a high tumour mutational burden,6
Candida endophthalmitis,49
Candida infection,6792
Candida nappy rash,5
Candida osteomyelitis,10
Candida pneumonia,66
Candida sepsis,243
Candida test positive,55
Candida urethritis,1
Candidiasis of trachea,3
Candiduria,27
CANDLE syndrome,1
Cannabinoid hyperemesis syndrome,18
CANVAS syndrome,3
Capillaritis,59
Capillary disorder,57
Capillary fragility,178
Capillary fragility increased,22
Capillary fragility test,10
Capillary leak syndrome,717
Capillary nail refill test,2
Capillary nail refill test abnormal,18
Capillary permeability,1
Capillary permeability increased,26
Caplan's syndrome,1
Capnocytophaga infection,38
Capnocytophaga sepsis,5
Capnocytophaga test positive,1
Capnogram abnormal,6
Capripox viral infection,1
Capsular block syndrome,1
Capsular contracture associated with breast implant,16
Capsular contracture associated with implant,1
Capsular warning syndrome,7
Capsule endoscopy,1
Capsulorrhaphy,1
Caput succedaneum,10
Carbamoyl phosphate synthetase deficiency,6
Carbohydrate antigen 125,13
Carbohydrate antigen 125 increased,1049
Carbohydrate antigen 15-3,2
Carbohydrate antigen 15-3 increased,153
Carbohydrate antigen 19-9,4
Carbohydrate antigen 19-9 increased,145
Carbohydrate antigen 27.29 increased,33
Carbohydrate antigen 72-4,2
Carbohydrate antigen 72-4 increased,3
Carbohydrate deficient transferrin increased,5
Carbohydrate intolerance,11
Carbohydrate metabolism disorder,17
Carbohydrate tolerance decreased,2
Carbohydrate tolerance increased,1
Carbon dioxide,4
Carbon dioxide abnormal,59
Carbon dioxide decreased,61
Carbon dioxide increased,380
Carbon monoxide diffusing capacity,10
Carbon monoxide diffusing capacity decreased,76
Carbon monoxide poisoning,99
Carboxyhaemoglobinaemia,3
Carboxyhaemoglobin increased,5
Carbuncle,64
Carcinoembryonic antigen,3
Carcinoembryonic antigen decreased,17
Carcinoembryonic antigen increased,620
Carcinogenic effect in offspring,1
Carcinogenicity,84
Carcinoid crisis,102
Carcinoid heart disease,33
Carcinoid syndrome,147
Carcinoid tumour,277
Carcinoid tumour in the large intestine,7
Carcinoid tumour of the appendix,20
Carcinoid tumour of the caecum,13
Carcinoid tumour of the duodenum,13
Carcinoid tumour of the gastrointestinal tract,46
Carcinoid tumour of the liver,14
Carcinoid tumour of the ovary,3
Carcinoid tumour of the pancreas,7
Carcinoid tumour of the prostate,8
Carcinoid tumour of the small bowel,28
Carcinoid tumour of the stomach,63
Carcinoid tumour pulmonary,76
Carcinoma ex-pleomorphic adenoma,6
Carcinoma in situ,66
Carcinoma in situ of eye,5
Carcinoma in situ of penis,4
Carcinoma in situ of skin,26
CARD9 deficiency,4
Cardiac ablation,683
Cardiac amyloidosis,395
Cardiac aneurysm,225
Cardiac aneurysm repair,1
Cardiac arrest,26594
Cardiac arrest neonatal,46
Cardiac assistance device user,138
Cardiac asthma,43
Cardiac autonomic neuropathy,8
Cardiac cirrhosis,16
Cardiac clearance,1
Cardiac complication associated with device,19
Cardiac contractility decreased,6
Cardiac contusion,16
Cardiac death,511
Cardiac device implantation,3
Cardiac device reprogramming,2
Cardiac discomfort,561
Cardiac disorder,35129
Cardiac dysfunction,1518
Cardiac electrophysiologic study,1
Cardiac electrophysiologic study abnormal,1
Cardiac failure,31341
Cardiac failure acute,2458
Cardiac failure chronic,1576
Cardiac failure congestive,30878
Cardiac failure high output,62
Cardiac fibrillation,411
Cardiac fibroma,2
Cardiac flutter,2006
Cardiac function disturbance postoperative,24
Cardiac function test,7
Cardiac function test abnormal,83
Cardiac granuloma,8
Cardiac haemangioma benign,7
Cardiac herniation,1
Cardiac hypertrophy,206
Cardiac imaging procedure,1
Cardiac imaging procedure abnormal,9
Cardiac index abnormal,2
Cardiac index decreased,20
Cardiac index increased,7
Cardiac infection,264
Cardiac iron overload,7
Cardiac malposition,10
Cardiac massage,7
Cardiac monitoring,37
Cardiac monitoring abnormal,10
Cardiac murmur,1221
Cardiac murmur functional,9
Cardiac myxoma,75
Cardiac neoplasm malignant,33
Cardiac neoplasm unspecified,78
Cardiac neurofibroma,1
Cardiac operation,3810
Cardiac output,5
Cardiac output decreased,155
Cardiac output increased,50
Cardiac pacemaker adjustment,18
Cardiac pacemaker battery replacement,34
Cardiac pacemaker evaluation,15
Cardiac pacemaker insertion,2031
Cardiac pacemaker removal,18
Cardiac pacemaker replacement,190
Cardiac perforation,87
Cardiac perfusion defect,9
Cardiac procedure complication,135
Cardiac pseudoaneurysm,23
Cardiac rehabilitation therapy,28
Cardiac resynchronisation therapy,31
Cardiac sarcoidosis,66
Cardiac septal defect,297
Cardiac septal defect repair,9
Cardiac septal defect residual shunt,2
Cardiac septal hypertrophy,31
Cardiac siderosis,4
Cardiac steatosis,13
Cardiac stress test,44
Cardiac stress test abnormal,228
Cardiac tamponade,2055
Cardiac telemetry,3
Cardiac telemetry abnormal,2
Cardiac therapeutic procedure,26
Cardiac valve abscess,17
Cardiac valve discolouration,3
Cardiac valve disease,1632
Cardiac valve fibroelastoma,18
Cardiac valve prosthesis user,7
Cardiac valve replacement complication,74
Cardiac valve rupture,31
Cardiac valve sclerosis,14
Cardiac valve thickening,15
Cardiac valve vegetation,88
Cardiac vein dissection,1
Cardiac vein perforation,1
Cardiac ventricular disorder,78
Cardiac ventricular scarring,2
Cardiac ventricular thrombosis,352
Cardiac ventriculogram abnormal,1
Cardiac ventriculogram left abnormal,2
Cardioactive drug level,3
Cardioactive drug level above therapeutic,11
Cardioactive drug level below therapeutic,3
Cardioactive drug level decreased,24
Cardioactive drug level increased,164
Cardiogenic shock,3032
Cardiohepatic syndrome,1
Cardiolipin antibody,5
Cardiolipin antibody positive,16
Cardiomegaly,1519
Cardiometabolic syndrome,53
Cardiomyopathy,3429
Cardiomyopathy acute,81
Cardiomyopathy alcoholic,8
Cardiomyopathy neonatal,12
Cardioplegia,8
Cardiopulmonary bypass,8
Cardiopulmonary exercise test abnormal,3
Cardiopulmonary failure,1033
Cardiorenal syndrome,123
Cardio-respiratory arrest,14398
Cardio-respiratory arrest neonatal,24
Cardio-respiratory distress,65
Cardiospasm,44
Cardiothoracic ratio,1
Cardiothoracic ratio increased,6
Cardiotoxicity,3395
Cardiovascular deconditioning,3
Cardiovascular disorder,4715
Cardiovascular evaluation,14
Cardiovascular event prophylaxis,3
Cardiovascular examination,2
Cardiovascular examination abnormal,3
Cardiovascular function test abnormal,1
Cardiovascular insufficiency,371
Cardiovascular somatic symptom disorder,8
Cardiovascular symptom,199
Cardioversion,375
Carditis,98
Carney complex,2
Carnitine,1
Carnitine abnormal,1
Carnitine decreased,14
Carnitine deficiency,57
Carnitine increased,3
Carnitine palmitoyltransferase deficiency,8
Carotene abnormal,1
Carotene increased,3
Carotid aneurysm rupture,15
Carotid angioplasty,3
Carotid arterial embolus,16
Carotid arteriosclerosis,205
Carotid artery aneurysm,101
Carotid artery bypass,9
Carotid artery calcification,3
Carotid artery disease,289
Carotid artery dissection,168
Carotid artery insufficiency,1
Carotid artery occlusion,852
Carotid artery perforation,14
Carotid artery restenosis,4
Carotid artery stenosis,634
Carotid artery stent insertion,26
Carotid artery stent removal,2
Carotid artery thrombosis,156
Carotid body tumour,14
Carotid bruit,9
Carotid endarterectomy,48
Carotid intima-media thickness increased,3
Carotid pulse,1
Carotid pulse abnormal,5
Carotid pulse decreased,2
Carotid pulse increased,4
Carotid revascularisation,3
Carotid sinus syndrome,34
Carotidynia,16
Carpal collapse,1
Carpal tunnel decompression,343
Carpal tunnel syndrome,4416
Carpectomy,1
Carpus curvus,1
CAR T-cell-related encephalopathy syndrome,131
Cartilage atrophy,260
Cartilage development disorder,7
Cartilage graft,4
Cartilage hypertrophy,6
Cartilage injury,634
Cartilage neoplasm,4
Cartilage operation,6
Cascade stomach,1
Cast application,42
Castleman's disease,163
Cast removal,1
Catabolic state,21
Catamenial pneumothorax,2
Cataplexy,881
Cataract,23414
Cataract congenital,74
Cataract cortical,55
Cataract diabetic,14
Cataract nuclear,177
Cataract operation,2035
Cataract operation complication,73
Cataract subcapsular,223
Cataract traumatic,27
Catarrh,214
Catastrophic reaction,18
Catatonia,1811
Catecholamine crisis,3
Catecholamines urine,3
Catecholamines urine increased,13
Catheter bacteraemia,5
Catheter culture,2
Catheter culture positive,18
Catheterisation cardiac,1679
Catheterisation cardiac abnormal,70
Catheterisation cardiac normal,2
Catheterisation venous,21
Catheter management,548
Catheter placement,755
Catheter removal,158
Catheter site abscess,55
Catheter site bruise,66
Catheter site calcification,2
Catheter site cellulitis,75
Catheter site dehiscence,1
Catheter site dermatitis,29
Catheter site discharge,346
Catheter site discolouration,29
Catheter site dryness,6
Catheter site erosion,35
